Sample number,Protein,concentration (mg/ml),Spinning device,Extrusion device,Number of baths,Temperature SB,Spinning Buffer,SB pH,SB conc. (mM),NaCl (mM),Capillery type,Capillery size (um),Reeling speed (rpm),Flow rate (ul/min),pumppressure (bar),Temp C (spinning),Humidity (spinning),Continous spinning,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,Diameter (µm),Strain (mm/mm),Strength (MPa),Youngs Modulus (GPa),Toughness Modulus (MJ m-3)
B144,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,10.0,12.7553009865,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,6.5,1.1702350965575146,139.68598035862422,3.4,120.3952596698469
B144,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,10.0,12.7553009865,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,6.7,1.1668727069708087,114.50533384870876,2.2,91.58965024672116
B145,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,20.0,20.4774291513,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,8.0,1.2337248238292768,108.3835215271864,2.5,97.9715859944901
B145,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,20.0,20.4774291513,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,8.0,0.0328828020652672,81.98648055332238,2.9,1.6878944442774495
B145,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,20.0,20.4774291513,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,9.0,1.1007817811012914,122.99949853336702,2.7,99.70633858347836
B145,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,20.0,20.4774291513,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,9.0,1.1734147975560734,130.53330407658515,2.9,116.20790774248962
B145,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,20.0,20.4774291513,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,20.0,0.360602303631419,34.48738011154865,1.0,13.613755309219563
B145,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,20.0,20.4774291513,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,10.0,1.329344905765908,94.258432792562,2.4,85.96554298911819
B145,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,20.0,20.4774291513,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,9.0,1.3789908028834206,110.5398278526963,2.5,109.17174320821594
B145,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,20.0,20.4774291513,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,9.0,1.354109178164367,103.6673209224042,2.5,94.3503040096869
B145,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,20.0,20.4774291513,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,10.0,1.266532004039879,82.8397659074681,2.4,74.6315553831287
B145,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,20.0,20.4774291513,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,19.0,1.4439066827995162,25.853922526200847,1.2,52.91240224872871
B146,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,30.0,40.2653825736,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,15.0,1.5951637209209488,70.65608011547312,1.8,79.86600098677143
B146,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,30.0,40.2653825736,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,13.0,1.5073549264507355,78.3467988854004,2.3,86.5260566586195
B146,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,30.0,40.2653825736,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,12.0,1.5409937701868943,86.10361998743085,2.2,96.15109304247324
B146,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,30.0,40.2653825736,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,14.0,1.544881984224575,63.382124381721454,1.7,71.39328729314107
B146,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,30.0,40.2653825736,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,13.0,1.4328915698748614,76.1819903008785,2.0,80.31940255163465
B146,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,30.0,40.2653825736,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,16.0,1.4479988111749555,56.08331726224039,1.4,61.03819430743872
B146,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,30.0,40.2653825736,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,13.0,1.5752382661402882,75.15789887297404,1.9,86.4227115598938
B146,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,30.0,40.2653825736,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,13.0,1.5368438946831595,76.58754346474295,1.9,82.79599784328556
B146,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,30.0,40.2653825736,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,12.0,1.4206563629862132,85.36186953320977,2.3,89.67706573999664
B146,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,30.0,40.2653825736,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,14.0,1.600367941604107,69.3764841893736,2.0,81.82407200891211
B147,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,35.0,51.365941810500004,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,14.0,1.669049428137247,89.02347982145483,2.3,113.8943369371896
B147,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,35.0,51.365941810500004,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,14.0,1.72635477582846,90.22818529885858,2.5,121.63788695484756
B147,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,35.0,51.365941810500004,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,13.0,1.717718468445947,105.63450717799786,2.6,137.94243720466812
B147,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,35.0,51.365941810500004,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,27.0,0.0665485779880064,61.73945538646016,1.7,2.97703438936998
B147,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,35.0,51.365941810500004,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,14.0,1.7513856847529736,90.40416519307732,2.7,127.02902169346814
B147,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,35.0,51.365941810500004,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,14.0,1.7239193988266914,88.7737689638037,2.2,120.63059182676515
B147,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,35.0,51.365941810500004,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,14.0,1.6609530647042985,87.12459894736534,2.4,114.92176040591256
B147,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,35.0,51.365941810500004,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,14.0,1.6349330689142287,86.17493114611621,2.5,112.83681236942267
B147,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,35.0,51.365941810500004,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,14.0,1.616040275147044,84.07668434535367,2.3,104.19415714186356
B147,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,35.0,51.365941810500004,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,12.0,0.9040557566546008,79.16296133860612,2.6,62.700299602175946
B148,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,40.0,69.2923107645,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,15.0,1.6592119275825346,67.96224476935879,1.6,81.6030933585837
B148,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,40.0,69.2923107645,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,16.0,1.6620542275856736,56.30459236905784,1.7,68.6423592305301
B148,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,40.0,69.2923107645,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,15.0,1.5776507800978032,72.83377244436393,2.0,83.22186481811649
B148,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,40.0,69.2923107645,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,15.0,1.579655017307805,68.21915621527423,2.0,78.17226841238067
B148,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,40.0,69.2923107645,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,16.0,1.6344698439804397,59.84315384910754,1.6,70.52632385816338
B148,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,40.0,69.2923107645,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,15.0,1.533642892999189,69.32059330410645,2.0,76.69739588663265
B148,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,40.0,69.2923107645,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,16.0,1.6372817761188223,59.46471323598685,1.7,71.92768954175361
B148,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,40.0,69.2923107645,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,16.0,1.707249024982071,60.14132068780627,1.8,76.15948781897664
B148,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,40.0,69.2923107645,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,15.0,1.6198447564628975,64.99305015103639,2.0,78.1941048139547
B148,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,40.0,69.2923107645,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,16.0,1.6810876062343634,59.217475979077534,1.7,73.56170026572427
B149,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,50.0,103.2145166313,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,19.0,1.972514672505674,55.803373471644,1.7,79.19393492551686
B149,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,50.0,103.2145166313,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,18.0,1.657988142015857,52.68040405596779,1.6,63.95422421863141
B149,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,50.0,103.2145166313,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,19.0,1.7488155904132494,61.87654975106331,1.7,78.88366709012514
B149,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,50.0,103.2145166313,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,14.0,1.3796704273774478,60.85545845863604,1.8,63.70978484310489
B149,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,50.0,103.2145166313,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,17.0,1.4177830207541886,49.7846354472412,1.4,51.3147536783919
B149,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,50.0,103.2145166313,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,25.0,1.9200282874160843,61.44079557209311,1.6,84.65465153693073
B149,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,50.0,103.2145166313,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,27.0,1.8823394678138945,49.66444626591631,1.4,68.37753450089328
B149,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,50.0,103.2145166313,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,19.0,1.7777943813508668,51.96189337485952,1.4,66.92788465039911
B149,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,50.0,103.2145166313,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,26.0,1.8489956707359751,55.1233239573302,1.4,72.42205577308931
B149,A3IA,197.0,Hulk,HPLC pump,1,22.0,Acetate (Na),5.0,750.0,0.0,PEEK tubing,75.0,100.0,50.0,103.2145166313,22.3,0.25,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,26.0,1.673692513529165,51.77020241249934,1.3,63.07011536867164
B15,A3IA,280.7,Venom,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,150.0,60.0,45.0,,21.9,0.22,yes,8.592079741852926,-2.700894999720614,-3.547426323087345,-3.822950142185724,-0.4673777012869061,1.8335749344424257,-2.1712090683758967,-1.6713390338342045,1.2473765574805644,1.0820051952153398,-0.7951583195080875,-2.008339426623896,-0.504809568252209,-0.111406965281099,0.4582205470061594,27.55,1.084524,132.492,2.29,110.5581
